"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18262","EditAStudent","All Test Suite","Mon Mar 24 16:51:02 GMT+06:00 2025","passed","Mon Mar 24 16:51:21 GMT+06:00 2025","testcases.TestStudentPage","F:/QA Project/Web Automation/WebAutomationTaskBlueBay/src/test","testcases.TestStudentPage","EditAStudent"
"","7508","addNewStudent","All Test Suite","Mon Mar 24 16:50:55 GMT+06:00 2025","passed","Mon Mar 24 16:51:02 GMT+06:00 2025","testcases.TestStudentPage","F:/QA Project/Web Automation/WebAutomationTaskBlueBay/src/test","testcases.TestStudentPage","addNewStudent"
"","5819","CreateProviderWithEmptyData","All Test Suite","Mon Mar 24 16:51:28 GMT+06:00 2025","broken","Mon Mar 24 16:51:33 GMT+06:00 2025","testcases.TestProviderPage","F:/QA Project/Web Automation/WebAutomationTaskBlueBay/src/test","testcases.TestProviderPage","CreateProviderWithEmptyData"
"","5499","DeleteAStudent","All Test Suite","Mon Mar 24 16:51:21 GMT+06:00 2025","passed","Mon Mar 24 16:51:26 GMT+06:00 2025","testcases.TestStudentPage","F:/QA Project/Web Automation/WebAutomationTaskBlueBay/src/test","testcases.TestStudentPage","DeleteAStudent"
"","468","createProviderWithValidData","All Test Suite","Mon Mar 24 16:51:34 GMT+06:00 2025","passed","Mon Mar 24 16:51:34 GMT+06:00 2025","testcases.TestProviderPage","F:/QA Project/Web Automation/WebAutomationTaskBlueBay/src/test","testcases.TestProviderPage","createProviderWithValidData"
"","808","setupStudentPage","All Test Suite","Mon Mar 24 16:50:54 GMT+06:00 2025","passed","Mon Mar 24 16:50:55 GMT+06:00 2025","testcases.TestStudentPage","F:/QA Project/Web Automation/WebAutomationTaskBlueBay/src/test","testcases.TestStudentPage","setupStudentPage"
"","1121","GotoAddProviderPage","All Test Suite","Mon Mar 24 16:51:26 GMT+06:00 2025","passed","Mon Mar 24 16:51:28 GMT+06:00 2025","testcases.TestProviderPage","F:/QA Project/Web Automation/WebAutomationTaskBlueBay/src/test","testcases.TestProviderPage","GotoAddProviderPage"
"","3944","LoginWithValidCredentials","All Test Suite","Mon Mar 24 16:50:50 GMT+06:00 2025","passed","Mon Mar 24 16:50:54 GMT+06:00 2025","testcases.TestLoginPage","F:/QA Project/Web Automation/WebAutomationTaskBlueBay/src/test","testcases.TestLoginPage","LoginWithValidCredentials"
"","469","CreateProviderWithInvalidEmail","All Test Suite","Mon Mar 24 16:51:33 GMT+06:00 2025","passed","Mon Mar 24 16:51:34 GMT+06:00 2025","testcases.TestProviderPage","F:/QA Project/Web Automation/WebAutomationTaskBlueBay/src/test","testcases.TestProviderPage","CreateProviderWithInvalidEmail"
